MES,LATITUD,LONGITUD,CANTIDAD
2010-02,3.136753606,-76.209645692,4
2010-02,1.69453474,-77.087357234,2
2010-02,3.144389993,-76.392348107,1
2010-02,2.499058783,-76.137625312,1
2010-02,1.793825164,-77.180603812,1
2010-02,3.228235212,-76.216708274,1
2010-02,2.157983906,-77.046576199,7
2010-02,2.702420026,-76.537704551,3
2010-02,2.471704362,-76.591944191,73
2010-02,3.266724205,-76.41846353,9
2010-02,2.260421954,-76.74582033,3
2010-02,1.52002179,-76.538762806,1
2010-02,2.984467338,-76.498731453,6
2010-02,2.057735184,-76.909939647,1
2010-02,2.369625312,-76.710519323,3
2010-02,3.180627317,-76.464455581,3
2010-02,8.248735219,-73.6227405,2
2010-02,9.949215908,-73.223582441,2
2010-02,9.238771332,-73.488108612,2
2010-02,9.683474681,-73.738337782,4
2010-02,8.337726622,-73.706491986,1
2010-02,8.938916143,-73.572472125,1
2010-02,8.764116734,-73.632955464,1
2010-02,7.769815987,-73.472188879,3
2010-02,10.169527121,-73.287982702,1
2010-02,7.937788454,-73.544363121,1
2010-02,10.218902768,-73.457847638,17
2010-02,8.383938499,-77.265602561,1
2010-02,5.525825084,-76.650643569,2
2010-02,5.070586101,-76.50701751,1
2010-02,4.586818665,-77.000907374,1
2010-02,4.853386627,-76.618236685,1
2010-02,5.7543229,-76.65015147,13
2010-02,4.958741345,-76.280023606,1
2010-02,4.372744676,-74.671110509,1
2010-02,4.559962881,-74.525695298,1
2010-02,4.857823671,-74.038095385,25
2010-02,5.261728244,-74.308305639,2
2010-02,4.834052334,-74.338022898,16
2010-02,4.743996711,-74.198659923,2
2010-02,4.323534028,-74.388591139,6
2010-02,4.528568462,-73.797052666,1
2010-02,4.338154518,-74.811439221,18
2010-02,4.523484884,-74.337246192,2
2010-02,4.801276832,-73.846434852,1
2010-02,4.650773167,-74.473217169,1
2010-02,4.75156751,-74.289630496,6
2010-02,4.672714223,-74.235731935,3
2010-02,5.619752748,-74.580192303,1
2010-02,4.964100703,-74.272171286,1
2010-02,4.581866267,-74.240296958,39
2010-02,5.122728461,-73.824273125,1
2010-02,5.440092358,-73.823925286,1
2010-02,4.452072974,-74.648644062,2
2010-02,5.011670402,-74.487647455,2
2010-02,5.06631685,-74.049603234,7
2010-02,8.265768688,-75.048684357,2
2010-02,8.191397953,-75.433825319,1
2010-02,8.895667051,-75.878423912,4
2010-02,9.11024941,-75.652373511,1
2010-02,9.053287104,-75.373873626,5
2010-02,8.052218422,-75.28816022,2
2010-02,8.823307063,-76.343055201,1
2010-02,9.265461621,-75.650908762,1
2010-02,7.866432635,-75.875339255,8
2010-02,8.584698016,-75.950550788,80
2010-02,9.190515343,-76.119317094,1
2010-02,8.181108488,-75.68923803,4
2010-02,8.799007016,-75.429256639,8
2010-02,9.330098329,-75.976238578,2
2010-02,7.813896829,-76.16846678,2
2010-02,1.363974932,-72.018109505,1
2010-02,2.484286091,-71.919169926,6
2010-02,2.658666675,-75.329438026,1
2010-02,2.172441496,-75.571312425,3
2010-02,2.371781539,-75.516997536,1
2010-02,1.945591321,-76.182047216,1
2010-02,2.328076586,-76.001172988,5
2010-02,2.993360046,-75.272362322,33
2010-02,2.259601773,-75.831951604,1
2010-02,1.848217185,-76.05217643,9
2010-02,1.924165493,-76.416565503,2
2010-02,2.926265937,-75.633597855,3
2010-02,3.030611777,-75.08536553,1
2010-02,2.851852692,-75.759889336,3
2010-02,1.950715226,-75.917576487,1
2010-02,10.948716767,-72.696968794,2
2010-02,11.090297147,-73.435687876,1
2010-02,11.381577644,-72.295008177,3
2010-02,11.242972141,-72.958763152,8
2010-02,10.81311496,-73.086599864,4
2010-02,11.999719855,-71.748826616,1
2010-02,10.857545516,-74.025004934,12
2010-02,10.459378178,-73.884065179,4
2010-02,10.433033993,-74.412511966,1
2010-02,10.847589014,-74.360579422,4
2010-02,11.121894357,-73.885278551,77
2010-02,10.796346583,-74.177983168,5
2010-02,3.441051399,-73.761154704,4
2010-02,2.161863917,-74.094880756,2
2010-02,2.752260112,-72.721094102,1
2010-02,4.014298921,-72.645704992,2
2010-02,4.09166877,-73.492915945,40
2010-02,1.245254077,-77.53115777,6
2010-02,1.44563774,-78.156210724,4
2010-02,1.593645287,-77.019993659,1
2010-02,1.386497844,-77.26969022,1
2010-02,1.72559011,-77.592816372,2
2010-02,2.216382295,-77.995332339,1
2010-02,1.887689437,-77.483195889,1
2010-02,1.43026376,-77.383115973,1
2010-02,0.497708465,-77.240476252,18
2010-02,1.584175998,-76.923352621,2
2010-02,1.338034371,-77.422930412,1
2010-02,1.900862361,-77.31220073,2
2010-02,1.155947016,-77.846646464,1
2010-02,2.287856547,-78.31219024,1
2010-02,1.083605497,-77.206100743,117
2010-02,1.735354202,-77.48134359,3
2010-02,1.147671848,-78.05811118,1
2010-02,1.897581156,-78.3811163,1
2010-02,1.574550638,-78.615409629,6
2010-02,1.681576627,-76.975279793,2
2010-02,1.288105409,-77.456700683,5
2010-02,2.494420411,-77.982564611,1
2010-02,1.134440523,-77.63073238,5
2010-02,8.873159895,-73.200077686,3
2010-02,8.081200092,-72.631521176,3
2010-02,7.695233593,-73.361396723,1
2010-02,7.742291094,-72.526807835,19
2010-02,8.206637527,-73.337650332,7
2010-02,7.379057623,-72.675903475,2
2010-02,8.329138642,-72.411190655,1
2010-02,7.847872195,-72.609712034,1
2010-02,8.112041811,-72.488626408,258
2010-02,8.713507237,-72.79925855,4
2010-02,7.718635863,-72.483611758,6
2010-02,1.26070915,-76.665843491,10
2010-02,0.673756323,-76.943139229,1
2010-02,0.433884539,-76.521582034,5
2010-02,0.70416861,-76.498644148,6
2010-02,0.746432215,-75.880229785,2
2010-02,0.0594719700001,-75.064793271,1
2010-02,1.036021482,-76.977516835,2
2010-02,1.228746922,-76.913075854,3
2010-02,0.911149515,-76.744954473,6
2010-02,4.499501128,-75.724899852,313
2010-02,4.366632382,-75.74403734,1
2010-02,4.467879428,-75.65674719,58
2010-02,4.604845344,-75.666884494,33
2010-02,4.395975176,-75.651323077,5
2010-02,4.669325347,-75.671469407,15
2010-02,4.180107773,-75.760566947,7
2010-02,4.426884849,-75.819273353,34
2010-02,4.521890945,-75.818065942,69
2010-02,4.30397934,-75.683304171,11
2010-02,4.610273497,-75.792050869,67
2010-02,4.611314654,-75.530921122,14
2010-02,5.139635357,-75.953538705,10
2010-02,4.918349676,-75.942753858,2
2010-02,5.200398696,-75.867938933,11
2010-02,4.842021144,-75.669936549,70
2010-02,5.320295966,-75.804366589,3
2010-02,4.988127679,-76.008226782,14
2010-02,4.904704187,-75.852081623,53
2010-02,4.942936185,-75.753213896,7
2010-02,4.803662773,-75.795790934,172
2010-02,5.323906864,-75.713396832,1
2010-02,4.833789828,-75.549501744,158
2010-02,5.076100313,-76.02286946,8
2010-02,5.955617327,-73.623452292,1
2010-02,7.054074558,-73.782116461,27
2010-02,7.155833544,-73.111569971,198
2010-02,6.40972961,-74.170304269,4
2010-02,7.079704598,-73.067992503,72
2010-02,6.976734127,-73.205267004,17
